date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODAY,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_DAY,LO3_TIME,LO3,LO3_DAY
17-Jun,07:12AM,0.79,TODAY,02:45PM,0.35,TODAY,07:10PM,0.45,TODAY,11:23PM,0.36,TODAY,-,-,-,-,-,-
18-Jun,07:21AM,0.91,TODAY,03:39PM,0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Jun,07:39AM,1.03,TODAY,04:21PM,0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Jun,08:03AM,1.16,TODAY,04:57PM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Jun,08:33AM,1.27,TODAY,05:35PM,-0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Jun,09:09AM,1.35,TODAY,06:15PM,-0.27,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Jun,09:49AM,1.41,TODAY,06:57PM,-0.3,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Jun,10:35AM,1.43,TODAY,07:41PM,0.3,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Jun,11:25AM,1.42,TODAY,08:27PM,-0.25,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-Jun,12:20PM,1.35,TODAY,09:12PM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-Jun,01:18PM,1.23,TODAY,09:54PM,0.7,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-Jun,02:18PM,1.6,TODAY,-,-,-,10:30PM,0.6,TODAY,-,-,-,-,-,-,-,-,-
29-Jun,05:33AM,0.59,TODAY,08:55AM,0.53,TODAY,03:25PM,0.85,TODAY,10:54PM,0.2,TODAY,-,-,-,-,-,-
30-Jun,05:48AM,0.71,TODAY,11:31AM,0.46,TODAY,04:50PM,0.63,TODAY,10:57PM,0.32,TODAY,-,-,-,-,-,-
1-Jul,06:13AM,0.86,TODAY,01:46PM,0.29,TODAY,07:05PM,0.44,TODAY,10:24PM,0.39,TODAY,-,-,-,-,-,-
2-Jul,06:42AM,1.1,TODAY,03:12PM,0.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
3-Jul,07:16AM,1.15,TODAY,04:11PM,-0.06,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-Jul,07:54AM,1.27,TODAY,04:59PM,0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Jul,08:33AM,1.36,TODAY,05:42PM,-0.24,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Jul,09:15AM,1.39,TODAY,06:22PM,-0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Jul,09:59AM,1.4,TODAY,07:02PM,-0.23,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Jul,10:44AM,1.37,TODAY,07:40PM,-0.17,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Jul,11:29AM,1.32,TODAY,08:15PM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Jul,12:13PM,1.24,TODAY,08:48PM,0,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Jul,12:55PM,1.12,TODAY,09:16PM,0.9,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-Jul,09:35PM,1.9,TODAY,01:36PM,0.98,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
13-Jul,04:50AM,0.59,TODAY,06:57AM,0.58,TODAY,02:15PM,0.82,TODAY,09:42PM,0.27,TODAY,-,-,-,-,-,-
14-Jul,04:43AM,0.69,TODAY,10:44AM,0.55,TODAY,03:00PM,0.65,TODAY,09:36PM,0.34,TODAY,-,-,-,-,-,-
15-Jul,05:00AM,0.8,TODAY,12:50PM,0.44,TODAY,04:17PM,0.47,TODAY,09:07PM,0.38,TODAY,-,-,-,-,-,-
16-Jul,05:27AM,0.92,TODAY,02:30PM,0.28,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
17-Jul,05:58AM,1.04,TODAY,03:24PM,0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-Jul,06:34AM,1.16,TODAY,04:03PM,-0.02,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Jul,07:15AM,1.27,TODAY,04:40PM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Jul,08:00AM,1.38,TODAY,05:18PM,-0.22,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Jul,08:50AM,1.45,TODAY,05:58PM,-0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Jul,09:43AM,1.49,TODAY,06:39PM,-0.25,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Jul,10:39AM,1.48,TODAY,07:18PM,-0.2,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Jul,11:35AM,1.42,TODAY,07:56PM,0.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Jul,02:42AM,0.45,TODAY,04:15AM,0.44,TODAY,12:30PM,1.29,TODAY,08:29PM,0.03,TODAY,-,-,-,-,-,-
26-Jul,02:46AM,0.54,TODAY,06:05AM,0.45,TODAY,01:24PM,1.11,TODAY,08:54PM,0.17,TODAY,-,-,-,-,-,-
27-Jul,03:09AM,0.66,TODAY,07:54AM,0.45,TODAY,02:21PM,0.89,TODAY,09:08PM,0.3,TODAY,-,-,-,-,-,-
28-Jul,03:41AM,0.8,TODAY,09:51AM,0.41,TODAY,03:27PM,0.65,TODAY,09:00PM,0.39,TODAY,-,-,-,-,-,-
