date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODYA,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_TODAY,LO3_TIME,LO3,LO3_TODAY
20-May,08:34AM,0.76,TOMORROW,01:39AM,0.27,TOMORROW,08:48PM,0.53,TOMORROW,03:34PM,0.29,TOMORROW,-,-,-,-,-,-
21-May,08:42AM,0.87,TOMORROW,01:31AM,0.35,TOMORROW,10:00PM,0.47,TOMORROW,04:21PM,0.14,TOMORROW,-,-,-,-,-,-
22-May,08:57AM,0.99,TOMORROW,01:21AM,0.39,TOMORROW,11:13PM,0.43,TOMORROW,05:03PM,0.01,TOMORROW,-,-,-,-,-,-
23-May,09:18AM,1.1,TOMORROW,01:14AM,0.41,TOMORROW,-,-,-,05:43PM,-0.1,TOMORROW,-,-,-,-,-,-
24-May,09:42AM,1.2,TOMORROW,06:23PM,-0.18,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
25-May,10:10AM,1.27,TOMORROW,07:06PM,-0.24,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
26-May,10:43AM,1.31,TOMORROW,07:51PM,-0.27,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
27-May,11:22AM,1.33,TOMORROW,08:42PM,-0.28,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
28-May,12:10PM,1.31,TOMORROW,09:38PM,-0.26,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
29-May,01:07PM,1.25,TOMORROW,10:35PM,-0.21,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
30-May,02:13PM,1.14,TOMORROW,11:29PM,-0.14,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
31-May,03:30PM,1,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1-Jun,07:55AM,0.58,TOMORROW,12:14AM,-0.03,TOMORROW,04:57PM,0.83,TOMORROW,10:15AM,0.56,TOMORROW,-,-,-,-,-,-
2-Jun,07:36AM,0.67,TOMORROW,12:46AM,0.11,TOMORROW,06:31PM,0.66,TOMORROW,01:00PM,0.43,TOMORROW,-,-,-,-,-,-
3-Jun,07:46AM,0.81,TOMORROW,01:03AM,0.25,TOMORROW,08:24PM,0.52,TOMORROW,02:36PM,0.24,TOMORROW,-,-,-,-,-,-
